Entry Time,Exit Time,Trade Type,Entry,Exit,Profit
2024-01-01 14:00,2024-01-01 15:09,STOPLOSS,48341.9,48194.4,-140.5
2024-01-04 10:04,2024-01-04 11:15,TARGET,47957.75,48124.85,218.4
2024-01-09 10:24,2024-01-09 14:08,STOPLOSS,47871.8,47737.3,-59.8
2024-01-10 10:14,2024-01-10 12:45,STOPLOSS,47323.7,47166.1,-126.6
2024-01-12 10:04,2024-01-12 10:59,TARGET,47595.25,47749.5,163.25
2024-01-15 12:24,2024-01-15 13:34,STOPLOSS,48196.4,48076.3,-53.05
2024-01-16 09:49,2024-01-16 13:09,STOPLOSS,48238.65,48115.55,-84.85
2024-01-18 10:09,2024-01-18 10:13,STOPLOSS,45905.3,45770.5,-50.65
2024-01-19 10:29,2024-01-19 11:06,STOPLOSS,46200.0,46007.65,-173.05
2024-01-20 13:14,2024-01-20 15:08,STOPLOSS,46094.0,45946.85,-116.7
2024-01-24 09:49,2024-01-24 10:04,STOPLOSS,45317.0,45168.75,19.65
2024-01-29 09:59,2024-01-29 10:23,TARGET,45467.1,45636.05,203.0
2024-01-31 10:04,2024-01-31 10:07,TARGET,45531.4,45736.6,274.75
2024-02-02 11:34,2024-02-02 12:24,STOPLOSS,46822.3,46652.35,-43.1
2024-02-05 12:49,2024-02-05 14:11,STOPLOSS,45988.05,45864.8,-109.9
2024-02-08 10:04,2024-02-08 10:09,STOPLOSS,46130.9,45973.7,-130.2
2024-02-09 10:09,2024-02-09 10:31,STOPLOSS,45309.55,45183.3,-49.7
2024-02-13 09:54,2024-02-13 10:09,TARGET,45199.5,45355.5,176.0
2024-02-14 09:59,2024-02-14 10:04,STOPLOSS,45185.1,45054.55,-85.55
2024-02-15 13:39,2024-02-15 15:15,EXIT_3_15,46165.4,46211.6,110.95
2024-02-16 13:39,2024-02-16 14:12,STOPLOSS,46552.85,46409.95,-75.3
2024-02-19 11:19,2024-02-19 11:32,STOPLOSS,46682.9,46548.95,-70.1
2024-02-20 10:09,2024-02-20 10:30,TARGET,46776.5,46953.9,294.65
2024-02-23 10:14,2024-02-23 10:27,STOPLOSS,47173.35,47038.0,-91.65
2024-02-27 12:54,2024-02-27 15:15,EXIT_3_15,46587.85,46584.05,2.65
2024-02-28 10:09,2024-02-28 10:50,STOPLOSS,46697.8,46573.65,-108.8
2024-02-29 09:54,2024-02-29 10:06,STOPLOSS,46095.6,45974.3,-13.7
2024-03-01 09:49,2024-03-01 11:22,TARGET,46611.2,46779.75,181.85
2024-03-04 10:24,2024-03-04 10:55,STOPLOSS,47477.25,47341.1,-118.55
2024-03-05 10:59,2024-03-05 12:50,TARGET,47393.3,47572.65,183.5
2024-03-06 10:09,2024-03-06 15:12,STOPLOSS,48022.25,47896.5,-4.3
2024-03-12 09:59,2024-03-12 10:31,STOPLOSS,47795.0,47641.65,-98.35
2024-03-14 10:39,2024-03-14 11:14,TARGET,46902.45,47064.5,207.65
2024-03-18 12:24,2024-03-18 12:42,STOPLOSS,46700.75,46559.1,-109.75
2024-03-20 13:24,2024-03-20 13:31,STOPLOSS,46655.45,46532.15,-36.8
2024-03-21 10:09,2024-03-21 10:42,STOPLOSS,46934.6,46804.65,-42.35
2024-03-22 10:19,2024-03-22 15:15,EXIT_3_15,46891.55,46845.3,-16.45
2024-03-27 10:04,2024-03-27 11:10,STOPLOSS,46896.1,46763.65,-59.1
2024-03-28 09:49,2024-03-28 11:05,TARGET,47175.4,47328.25,180.5
2024-04-03 10:14,2024-04-03 15:15,EXIT_3_15,47516.55,47641.45,189.95
2024-04-05 10:04,2024-04-05 14:03,TARGET,48145.55,48322.25,217.25
2024-04-08 12:39,2024-04-08 13:28,STOPLOSS,48664.55,48542.0,-87.05
2024-04-09 10:04,2024-04-09 13:47,STOPLOSS,48829.75,48704.55,-107.6
2024-04-10 10:44,2024-04-10 11:50,STOPLOSS,48961.15,48840.05,-76.55
2024-04-16 10:09,2024-04-16 11:59,STOPLOSS,47559.1,47438.75,-80.3
2024-04-19 09:49,2024-04-19 09:55,STOPLOSS,46950.6,46795.65,-57.1
2024-04-24 09:54,2024-04-24 15:15,EXIT_3_15,48180.6,48183.85,43.3
2024-04-25 10:04,2024-04-25 13:04,TARGET,48215.2,48365.35,181.2
2024-04-29 10:19,2024-04-29 11:19,TARGET,48665.55,48822.35,230.6
2024-04-30 09:54,2024-04-30 10:09,STOPLOSS,49607.45,49440.5,-64.0
2024-05-02 10:09,2024-05-02 10:20,STOPLOSS,49519.55,49394.8,-120.1
2024-05-10 09:54,2024-05-10 10:06,TARGET,47687.75,47861.45,192.6
2024-05-13 13:54,2024-05-13 15:15,EXIT_3_15,47671.45,47731.05,222.5
2024-05-14 14:04,2024-05-14 14:16,STOPLOSS,47912.9,47789.2,-116.95
2024-05-17 10:04,2024-05-17 11:17,TARGET,47995.55,48147.4,165.8
2024-05-21 12:59,2024-05-21 13:25,STOPLOSS,48255.75,48115.9,-102.05
2024-05-23 09:49,2024-05-23 10:21,TARGET,48146.7,48331.45,227.1
2024-05-24 14:19,2024-05-24 15:15,EXIT_3_15,48992.25,48962.4,-13.05
2024-05-27 10:34,2024-05-27 11:57,TARGET,49309.1,49465.9,170.1
2024-05-30 13:49,2024-05-30 14:09,STOPLOSS,48979.85,48855.45,-62.8
2024-05-31 14:04,2024-05-31 14:16,STOPLOSS,49107.75,48957.95,-120.5
2024-06-04 13:50,2024-06-04 13:52,TARGET,47756.15,47946.7,364.8
2024-06-05 11:14,2024-06-05 11:21,STOPLOSS,47863.45,47711.65,209.65
2024-06-06 10:24,2024-06-06 11:34,STOPLOSS,49583.7,49452.35,-23.0
2024-06-07 09:59,2024-06-07 10:16,STOPLOSS,49488.0,49348.9,-103.7
2024-06-11 10:04,2024-06-11 15:15,EXIT_3_15,49817.35,49678.65,-88.25
2024-06-12 09:49,2024-06-12 09:59,TARGET,49903.55,50073.65,215.0
2024-06-14 10:09,2024-06-14 15:15,EXIT_3_15,50044.2,50022.15,-6.05
2024-06-18 09:54,2024-06-18 10:24,STOPLOSS,50229.2,50097.25,-107.5
2024-06-19 09:54,2024-06-19 10:10,TARGET,51062.35,51251.0,283.75
2024-06-20 13:29,2024-06-20 13:53,STOPLOSS,51841.7,51700.75,-93.2
2024-06-24 10:34,2024-06-24 11:18,TARGET,51457.35,51632.05,237.3
2024-06-25 09:49,2024-06-25 12:26,TARGET,52052.45,52233.05,262.9
2024-06-26 11:24,2024-06-26 11:32,TARGET,52720.45,52877.95,176.25
2024-06-27 09:59,2024-06-27 10:33,STOPLOSS,53036.6,52877.35,-102.95
2024-07-01 10:09,2024-07-01 10:14,STOPLOSS,52516.3,52396.1,-117.8
2024-07-03 09:49,2024-07-03 10:03,STOPLOSS,53194.6,53050.6,-52.75
2024-07-09 11:44,2024-07-09 12:44,STOPLOSS,52620.0,52493.95,-91.5
2024-07-12 10:59,2024-07-12 11:04,TARGET,52604.65,52755.45,245.05
2024-07-15 10:44,2024-07-15 11:21,STOPLOSS,52511.1,52385.2,-54.85
2024-07-18 09:49,2024-07-18 10:49,STOPLOSS,52587.45,52449.4,27.0
2024-07-22 09:59,2024-07-22 12:26,STOPLOSS,52344.05,52198.65,-133.2
2024-07-26 11:09,2024-07-26 12:44,TARGET,50899.95,51061.55,186.4
2024-07-29 10:49,2024-07-29 11:00,TARGET,51987.15,52138.45,201.85
